/*
* Licencia con arreglo a la EUPL, Versión 1.2 o –en cuanto sean aprobadas por la
Comisión Europea– versiones posteriores de la EUPL (la «Licencia»);
* Solo podrá usarse esta obra si se respeta la Licencia.
* Puede obtenerse una copia de la Licencia en:
* http://joinup.ec.europa.eu/software/page/eupl/licence-eupl
* Salvo cuando lo exija la legislación aplicable o se acuerde por escrito, el programa
distribuido con arreglo a la Licencia se distribuye «TAL CUAL», SIN GARANTÍAS NI
CONDICIONES DE NINGÚN TIPO, ni expresas ni implícitas.
* Véase la Licencia en el idioma concreto que rige los permisos y limitaciones que
establece la Licencia.
*/




"pasaje  a","pasaje  a","pasaje a"
"autovía  a-1","autovía  a-1","autovía a-1"
"autovía  a-2","autovía  a-2","autovía a-2"
"autovía  a-3","autovía  a-3","autovía a-3"
"autovía  a-4","autovía  a-4","autovía a-4"
"autovía  a-42","autovía  a-42","autovía a-42"
"autovía  a-5","autovía  a-5","autovía a-5"
"autovía  a-6","autovía  a-6","autovía a-6"
"calle de los contrabajos","calle de los contrabajos","calle contrabajos","contrabajos"
"calle del convenio","calle del convenio","calle convenio","convenio"
"calle del conventín de valdediós","calle del conventín de valdediós","calle conventín de valdediós","conventín de valdediós"
"plaza de la convivencia","plaza de la convivencia","plaza convivencia"
"calle de la cooperación","calle de la cooperación","calle cooperación","cooperación"
"calle de la cooperativa eléctrica","calle de la cooperativa eléctrica","calle cooperativa eléctrica","cooperativa eléctrica"
"ronda de las cooperativas","ronda de las cooperativas","ronda cooperativas"
"plaza de los cooperativistas","plaza de los cooperativistas","plaza cooperativistas"
"calle de copérnico","calle de copérnico","calle copérnico","copérnico"
"calle de los coraceros","calle de los coraceros","calle coraceros","coraceros"
"calle del corazón de maría","calle del corazón de maría","calle corazón de maría","corazón de maría"
"calle de la corbeta","calle de la corbeta","calle corbeta","corbeta"
"plaza de corcubión","plaza de corcubión","plaza corcubión"
"calle de cordel de pavones","calle de cordel de pavones","calle cordel de pavones","cordel de pavones"
"calle de la cordillera","calle de la cordillera","calle cordillera","cordillera"
"calle de la cordillera de cuera","calle de la cordillera de cuera","calle cordillera de cuera","cordillera de cuera"
"avenida de córdoba","avenida de córdoba","avenida córdoba"
"calle de los córdobanes","calle de los córdobanes","calle córdobanes","córdobanes"
"calle del cordón","calle del cordón","calle cordón","cordón"
"plaza del cordón","plaza del cordón","plaza cordón"
"calle de cordovín","calle de cordovín","calle cordovín","cordovín"
"calle de corella","calle de corella","calle corella","corella"
"calle de coria","calle de coria","calle coria","coria"
"calle del corindón","calle del corindón","calle corindón","corindón"
"calle del cormorán","calle del cormorán","calle cormorán","cormorán"
"calle de la cornada de navarra","calle de la cornada de navarra","calle cornada de navarra","cornada de navarra"
"calle de la corona","calle de la corona","calle corona","corona"
"calle de la corona austral","calle de la corona austral","calle corona austral","corona austral"
"plaza de la corona boreal","plaza de la corona boreal","plaza corona boreal"
"calle del coronel blanco","calle del coronel blanco","calle coronel blanco","coronel blanco"
"calle del coronel valenzuela","calle del coronel valenzuela","calle coronel valenzuela","coronel valenzuela"
"calle de la coronila","calle de la coronila","calle coronila","coronila"
"calle de corozal","calle de corozal","calle corozal","corozal"
"plaza de corpus barga","plaza de corpus barga","plaza corpus barga"
"calle de corral de almaguer","calle de corral de almaguer","calle corral de almaguer","corral de almaguer"
"calle del corral de cantos","calle del corral de cantos","calle corral de cantos","corral de cantos"
"camino del corral de los chotos","camino del corral de los chotos","camino corral de los chotos"
"calle de la corredera alta de san pablo","calle de la corredera alta de san pablo","calle corredera alta de san pablo","corredera alta de san pablo"
"calle de la corredera baja de san pablo","calle de la corredera baja de san pablo","calle corredera baja de san pablo","corredera baja de san pablo"
"plaza del corregidor alonso de aguilar","plaza del corregidor alonso de aguilar","plaza corregidor alonso de aguilar"
"calle del corregidor alonso de tobar","calle del corregidor alonso de tobar","calle corregidor alonso de tobar","corregidor alonso de tobar"
"plaza del corregidor alonso de tobar","plaza del corregidor alonso de tobar","plaza corregidor alonso de tobar"
"plaza del corregidor conde de maceda y taboada","plaza del corregidor conde de maceda y taboada","plaza corregidor conde de maceda y taboada"
"calle del corregidor diego cabeza de vaca","calle del corregidor diego cabeza de vaca","calle corregidor diego cabeza de vaca","corregidor diego cabeza de vaca"
"calle del corregidor diego de valderrábano","calle del corregidor diego de valderrábano","calle corregidor diego de valderrábano","corregidor diego de valderrábano"
"calle del corregidor josé de pasamonte","calle del corregidor josé de pasamonte","calle corregidor josé de pasamonte","corregidor josé de pasamonte"
"calle del corregidor juan de bobadilla","calle del corregidor juan de bobadilla","calle corregidor juan de bobadilla","corregidor juan de bobadilla"
"calle del corregidor juan francisco de luján","calle del corregidor juan francisco de luján","calle corregidor juan francisco de luján","corregidor juan francisco de luján"
"plaza del corregidor licenciado antonio de mena","plaza del corregidor licenciado antonio de mena","plaza corregidor licenciado antonio de mena"
"calle del corregidor mendo de zúñiga","calle del corregidor mendo de zúñiga","calle corregidor mendo de zúñiga","corregidor mendo de zúñiga"
"calle del corregidor rodrigo rodríguez","calle del corregidor rodrigo rodríguez","calle corregidor rodrigo rodríguez","corregidor rodrigo rodríguez"
"plaza del corregidor sancho de córdoba","plaza del corregidor sancho de córdoba","plaza corregidor sancho de córdoba"
"calle del corregidor señor de la elipa","calle del corregidor señor de la elipa","calle corregidor señor de la elipa","corregidor señor de la elipa"
"calle del correo","calle del correo","calle correo","correo"
"plaza de las cortes","plaza de las cortes","plaza cortes"
"calle del cortijillo","calle del cortijillo","calle cortijillo","cortijillo"
"calle del cortijo","calle del cortijo","calle cortijo","cortijo"
"calle de corumba","calle de corumba","calle corumba","corumba"
"calle de coslada","calle de coslada","calle coslada","coslada"
"camino de coslada","camino de coslada","camino coslada"
"calle del cosmos","calle del cosmos","calle cosmos","cosmos"
"calle de la costa azul","calle de la costa azul","calle costa azul","costa azul"
"calle de la costa blanca","calle de la costa blanca","calle costa blanca","costa blanca"
"calle de la costa brava","calle de la costa brava","calle costa brava","costa brava"
"travesía de la costa brava","travesía de la costa brava","travesía costa brava"
"calle de la costa del sol","calle de la costa del sol","calle costa del sol","costa del sol"
"calle de costa rica","calle de costa rica","calle costa rica","costa rica"
"plaza de costa rica","plaza de costa rica","plaza costa rica"
"puente de costa rica","puente de costa rica","puente costa rica"
"calle de la costa verde","calle de la costa verde","calle costa verde","costa verde"
"camino de la costanilla","camino de la costanilla","camino costanilla"
"calle de costillares","calle de costillares","calle costillares","costillares"
"calle de las costureras","calle de las costureras","calle costureras","costureras"
"calle de cotos","calle de cotos","calle cotos","cotos"
"calle de las covachuelas","calle de las covachuelas","calle covachuelas","covachuelas"
"calle de covaleda","calle de covaleda","calle covaleda","covaleda"
"calle de covarrubias","calle de covarrubias","calle covarrubias","covarrubias"
"calle de covatillas","calle de covatillas","calle covatillas","covatillas"
"camino de las covatillas","camino de las covatillas","camino covatillas"
"calle de cracovia","calle de cracovia","calle cracovia","cracovia"
"calle de crevillente","calle de crevillente","calle crevillente","crevillente"
"calle del crisantemo","calle del crisantemo","calle crisantemo","crisantemo"
"plaza de cristina arce y rocio oña","plaza de cristina arce y rocio oña","plaza cristina arce y rocio oña"
"plaza de cristino martos","plaza de cristino martos","plaza cristino martos"
"calle del cristo","calle del cristo","calle cristo","cristo"
"camino del cristo atado","camino del cristo atado","camino cristo atado"
"pista del cristo de el pardo","pista del cristo de el pardo","pista cristo de el pardo"
"calle del cristo de la fe","calle del cristo de la fe","calle cristo de la fe","cristo de la fe"
"calle del cristo de la guía","calle del cristo de la guía","calle cristo de la guía","cristo de la guía"
"calle del cristo de la luz","calle del cristo de la luz","calle cristo de la luz","cristo de la luz"
"calle del cristo de la vega","calle del cristo de la vega","calle cristo de la vega","cristo de la vega"
"calle del cristo de la vera cruz","calle del cristo de la vera cruz","calle cristo de la vera cruz","cristo de la vera cruz"
"calle del cristo de la victoria","calle del cristo de la victoria","calle cristo de la victoria","cristo de la victoria"
"calle del cristo de lepanto","calle del cristo de lepanto","calle cristo de lepanto","cristo de lepanto"
"calle del cristo de limpias","calle del cristo de limpias","calle cristo de limpias","cristo de limpias"
"calle del cristo de serradilla","calle del cristo de serradilla","calle cristo de serradilla","cristo de serradilla"
"calle del cristo del camino","calle del cristo del camino","calle cristo del camino","cristo del camino"
"plaza del cristo rey","plaza del cristo rey","plaza cristo rey"
"calle de cristóbal aguilera","calle de cristóbal aguilera","calle cristóbal aguilera","cristóbal aguilera"
"calle de cristóbal bordiú","calle de cristóbal bordiú","calle cristóbal bordiú","cristóbal bordiú"
"calle del croat","calle del croat","calle croat","croat"
"calle del cromo","calle del cromo","calle cromo","cromo"
"calle de cronos","calle de cronos","calle cronos","cronos"
"plaza de cronos","plaza de cronos","plaza cronos"
"calle del crotón","calle del crotón","calle crotón","crotón"
"calle del crucero 25 de mayo","calle del crucero 25 de mayo","calle crucero 25 de mayo","crucero 25 de mayo"
"camino de las cruces","camino de las cruces","camino cruces"
"camino de las cruces de valdehernando","camino de las cruces de valdehernando","camino cruces de valdehernando"
"calle de la cruz","calle de la cruz","calle cruz","cruz"
"camino de la cruz","camino de la cruz","camino cruz"
"calle de la cruz de la misa","calle de la cruz de la misa","calle cruz de la misa","cruz de la misa"
"calle de la cruz del carnero","calle de la cruz del carnero","calle cruz del carnero","cruz del carnero"
"camino de la cruz del cura","camino de la cruz del cura","camino cruz del cura"
"calle de la cruz del sur","calle de la cruz del sur","calle cruz del sur","cruz del sur"
"plaza de la cruz latina","plaza de la cruz latina","plaza cruz latina"
"calle de la cruz verde","calle de la cruz verde","calle cruz verde","cruz verde"
"plaza de la cruz verde","plaza de la cruz verde","plaza cruz verde"
"travesía de la cruz verde","travesía de la cruz verde","travesía cruz verde"
"calle de la cruzada","calle de la cruzada","calle cruzada","cruzada"
"plaza de cuacos de yuste","plaza de cuacos de yuste","plaza cuacos de yuste"
"calle  cuarenta mercamadrid","calle  cuarenta mercamadrid","calle cuarenta mercamadrid","cuarenta mercamadrid"
"calle  cuarenta y cinco mercamadrid","calle  cuarenta y cinco mercamadrid","calle cuarenta y cinco mercamadrid","cuarenta y cinco mercamadrid"
"calle  cuarenta y cuatro mercamadrid","calle  cuarenta y cuatro mercamadrid","calle cuarenta y cuatro mercamadrid","cuarenta y cuatro mercamadrid"
"calle  cuarenta y dos mercamadrid","calle  cuarenta y dos mercamadrid","calle cuarenta y dos mercamadrid","cuarenta y dos mercamadrid"
"calle  cuarenta y nueve mercamadrid","calle  cuarenta y nueve mercamadrid","calle cuarenta y nueve mercamadrid","cuarenta y nueve mercamadrid"
"calle  cuarenta y ocho mercamadrid","calle  cuarenta y ocho mercamadrid","calle cuarenta y ocho mercamadrid","cuarenta y ocho mercamadrid"
"calle  cuarenta y seis mercamadrid","calle  cuarenta y seis mercamadrid","calle cuarenta y seis mercamadrid","cuarenta y seis mercamadrid"
"calle  cuarenta y siete mercamadrid","calle  cuarenta y siete mercamadrid","calle cuarenta y siete mercamadrid","cuarenta y siete mercamadrid"
